"date","close","volume","open","high","low"
"2015/09/11","197.9200","3392037.0000","196.4400","197.9500","195.6600"
"2015/09/10","196.9600","4904234.0000","195.6900","198.3700","195.3800"
"2015/09/09","195.9100","7628135.0000","200.4400","200.6300","195.4600"
"2015/09/08","198.6700","6465837.0000","197.0600","198.7500","196.3100"
"2015/09/04","193.6600","7236741.0000","194.0100","194.9500","192.7100"
"2015/09/03","196.7100","9065135.0000","197.4000","199.2100","196.0800"
"2015/09/02","196.5400","8960236.0000","195.7800","196.5900","193.5350"
"2015/09/01","192.7300","12410660.0000","194.2800","195.8800","191.8300"
"2015/08/31","198.7500","7315133.0000","199.3500","200.2900","198.1800"
"2015/08/28","200.4800","5822543.0000","199.6600","200.9900","199.0900"
"2015/08/27","200.4900","9718678.0000","198.2500","200.5600","196.3400"
"2015/08/26","195.6800","13442500.0000","193.2400","195.8800","189.4700"
"2015/08/25","188.2800","8893354.0000","196.5100","196.9400","188.0400"
"2015/08/24","190.5200","13185620.0000","188.5100","196.9600","147.2100"
"2015/08/21","198.8100","14980590.0000","203.0000","204.1200","198.6900"
"2015/08/20","205.1200","8387574.0000","207.7900","208.3900","205.1200"
"2015/08/19","209.5700","5296478.0000","210.3800","211.2800","208.6000"
"2015/08/18","211.2700","1960475.0000","211.5600","211.9400","210.9675"
"2015/08/17","211.8700","2412930.0000","209.9400","211.8700","209.4000"
"2015/08/14","210.6300","2011630.0000","209.7000","210.7600","209.5200"
"2015/08/13","209.9100","2648068.0000","210.0000","210.8060","209.2800"
"2015/08/12","210.1200","4090574.0000","208.3500","210.3900","206.6300"
"2015/08/11","209.9200","2777468.0000","210.2300","210.7103","209.0200"
"2015/08/10","211.8300","2173005.0000","210.5600","211.9300","210.5600"
"2015/08/07","209.1800","3556842.0000","209.4300","209.5700","208.1377"
"2015/08/06","209.6900","2999736.0000","211.5200","211.6900","208.9000"
"2015/08/05","211.3900","2819988.0000","211.7400","212.5800","211.0000"
"2015/08/04","210.6000","3046470.0000","211.0000","211.5000","210.0700"
"2015/08/03","211.0400","5257077.0000","211.7000","211.8000","209.9300"
"2015/07/31","211.7600","4473927.0000","212.7400","212.7400","211.4400"
"2015/07/30","212.0600","2181426.0000","211.4300","212.2900","210.7000"
"2015/07/29","211.9900","3765203.0000","210.7700","212.3100","210.5740"
"2015/07/28","210.5800","2766356.0000","209.0600","210.7600","208.0700"
"2015/07/27","207.9900","4497240.0000","208.1800","208.8000","207.5100"
"2015/07/24","209.2500","3545266.0000","211.5600","211.6400","208.8600"
"2015/07/23","211.4700","2800192.0000","212.8300","212.9100","211.0400"
"2015/07/22","212.6200","3078202.0000","212.2000","213.0500","212.1800"
"2015/07/21","213.0300","2927731.0000","213.6900","214.0009","212.6900"
"2015/07/20","213.8600","2361238.0000","214.0300","214.4600","213.5400"
"2015/07/17","213.7800","2326583.0000","213.6000","213.8500","213.1200"
